Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,"Honolulu, HI",105.6,63.9,86.5,128.6,106.4,89.1
2,"New York, NY",100,100,100,100,100,100
3,"San Francisco, CA",96.8,80.1,89.2,105.7,95.2,163.7
4,"Washington, DC",92.2,68.2,81.2,95.6,92.1,163
5,"Seattle, WA",91.1,60.3,77,101.1,84.5,158.7
6,"San Jose, CA",89.4,69.8,80.4,92.1,85.4,141.2
7,"Boston, MA",89.1,77,83.5,93.8,91,138.1
8,"Anchorage, AK",87.9,37.5,64.9,93.3,82.9,136.7
9,"Los Angeles, CA",85.6,67.1,77.1,87.6,91.7,108
10,"Oakland, CA",85.2,58.2,72.9,97.7,88.8,134
11,"Miami, FL",85.1,67.5,77.1,89.2,97.9,102.4
12,"Portland, OR",83.7,46.6,66.7,96.8,79.8,140.6
13,"San Diego, CA",82.7,75.2,79.3,84.1,87.2,121.6
14,"Arlington, VA",81.9,61.3,72.5,92.1,83.1,168.6
15,"Philadelphia, PA",81.3,44.8,64.6,88.6,73.8,128.3
16,"Jersey City, NJ",80.9,66.1,74.1,85.6,78.4,157
17,"Irvine, CA",80.6,67.7,74.7,86.5,83.6,159.6
18,"Winston-Salem, NC",80.3,33,58.7,106.3,74.2,114.7
19,"Fort Lauderdale, FL",79.9,60.1,70.8,87,89,120.7
20,"Sacramento, CA",79,44.8,63.4,87.6,73.3,135.4
21,"Denver, CO",79,45.6,63.7,89.1,77.3,135.7
22,"New Orleans, LA",78,38.7,60,81.5,91.8,125.9
23,"Reno, NV",77,40.6,60.4,81.8,84.3,137.3
24,"Atlanta, GA",76.8,43.1,61.4,83.6,87.9,164.8
25,"Phoenix, AZ",76.4,40.7,60,83.6,77.1,131
26,"Minneapolis, MN",76.2,38.3,58.8,87.5,78.5,138.5
27,"Chicago, IL",75.9,54.8,66.2,86.5,72.9,144.3
28,"Dallas, TX",75.7,45.1,61.7,77.5,77.1,146.3
29,"Albany, NY",75.4,38.8,58.7,80.8,85.4,133.8
30,"Saint Louis, MO",75.2,29.8,54.4,93.7,68.5,145
31,"Baltimore, MD",74.8,34,56.1,82.4,73.3,143.2
32,"Buffalo, NY",74.7,31.9,55.1,78,78.6,122.5
33,"Nashville, TN",74.3,47.9,62.3,80.6,72.1,134.8
34,"Syracuse, NY",74.3,41.2,59.2,85.7,68.7,113.3
35,"Colorado Springs, CO",74.3,38.9,58.1,80.7,72.9,137
36,"Columbus, OH",73.9,34.2,55.7,80.5,81.8,127.3
37,"Greenville, SC",73,36.1,56.2,86.4,73.5,146.5
38,"Spokane, WA",72.5,36.7,56.1,84,69.6,143.2
39,"Orlando, FL",72.2,43.4,59,81.4,75.8,147.5
40,"Charlotte, NC",71.7,43.3,58.7,81.3,68.4,138.1
41,"Las Vegas, NV",71.6,36.7,55.7,70.7,84.4,128.1
42,"Fort Worth, TX",71.3,37,55.6,78.7,62.7,151.1
43,"Austin, TX",71.1,46.2,59.7,79,72.4,157.9
44,"Richmond, VA",70.3,35.6,54.4,73.1,80.5,149.2
45,"Oklahoma City, OK",70.2,29.3,51.5,76.6,74.3,136.6
46,"Madison, WI",70.2,40.9,56.8,80.1,67.9,147.8
47,"Indianapolis, IN",69.9,35.9,54.4,74.4,71.6,152.1
48,"Ann Arbor, MI",69.6,46.8,59.2,77.4,66.9,159.7
49,"Tampa, FL",69.4,51.3,61.1,73.6,72.4,134.8
50,"Boise, ID",69.3,33.2,52.8,76.3,70,155.3
51,"Vancouver, WA",69.2,36.8,54.4,67.1,79.8,152.7
52,"Birmingham, AL",69,38,54.8,82.4,58.6,106.9
53,"Pittsburgh, PA",68.7,32.9,52.4,77.9,63,155
54,"Detroit, MI",68.4,33.1,52.2,75.3,67.8,122.6
55,"Gainesville, FL",68.3,37.8,54.4,75,73.5,129.1
56,"Kansas City, MO",68,32.5,51.8,71.5,79.3,142.1
57,"Omaha, NE",67.4,36.2,53.1,69.9,69.8,137.7
58,"Milwaukee, WI",67.3,35.7,52.9,75.4,66.7,135.8
59,"Raleigh, NC",67,38.3,53.9,77,69.3,151.3
60,"Wichita, KS",66.5,22,46.2,74.9,60,144.2
61,"Fort Collins, CO",66.3,39.9,54.2,72.6,75.1,150.9
62,"Salt Lake City, UT",66.2,37.7,53.2,70.3,65.8,148.4
63,"Jacksonville, FL",66,33.8,51.3,70.8,76.5,145.1
64,"Rochester, NY",65.9,32.3,50.5,73.3,71.6,152.6
65,"Memphis, TN",65.9,29.8,49.4,72.1,70.3,140.7
66,"Knoxville, TN",65.9,38.4,53.3,70.9,66.3,124.6
67,"San Antonio, TX",65.7,35.5,51.9,70.8,62.8,149.9
68,"Cleveland, OH",65.6,35.8,51.9,74.2,61.4,123.3
69,"Tulsa, OK",65.2,26.7,47.6,73.7,58.4,136.5
70,"Houston, TX",65.1,40,53.6,68.7,69.7,163.4
71,"Cincinnati, OH",64.6,36.4,51.7,72.4,58.2,147.5
72,"Tucson, AZ",64.4,30.4,48.9,73.3,70,152.8
73,"Albuquerque, NM",63.7,31.3,48.9,75.8,64,153.6
74,"Eugene, OR",63.7,33.9,50.1,71.8,64.8,143.1
75,"Columbia, SC",63,27.9,46.9,68.4,65.5,130.9
76,"Louisville, KY",62.4,30.5,47.8,75.5,59.7,158.9
77,"Huntsville, AL",60.7,28.7,46.1,61.7,66.3,168.3